"name","var_name","display_name","category","unit","meaning","formula_latex","lbound","ubound","remark","status","year","source"
"autumn_PRCP","_weather_autumn_prcp","","weather","inch","autumn precipitation","",0,NA,"","divide by 100 to get true value","1981-2010","https://www.ncdc.noaa.gov/cdo-web/datatools/normals"
"annual_TAVG","_weather_annual_tavg","","weather","F","annual average temperature","",-2000,2000,"","divide by 10 to get true value","1981-2010","https://www.ncdc.noaa.gov/cdo-web/datatools/normals"
"annual_TMAX","_weather_annual_tmax","","weather","F","annual maximum temperature","",-2000,2000,"","divide by 10 to get true value","1981-2010","https://www.ncdc.noaa.gov/cdo-web/datatools/normals"
"annual_TMIN","_weather_annual_tmin","","weather","F","annual minimum temperature","",-2000,2000,"","divide by 10 to get true value","1981-2010","https://www.ncdc.noaa.gov/cdo-web/datatools/normals"
"winter_TAVG","weather_winter_tavg","Winter Avg. Temperature","weather","F","winter average temperature","",-2000,2000,"during the election time","divide by 10 to get true value","1981-2010","https://www.ncdc.noaa.gov/cdo-web/datatools/normals"
"winter_TMAX","_weather_winter_tmax","","weather","F","winter maximum temperature","",-2000,2000,"","divide by 10 to get true value","1981-2010","https://www.ncdc.noaa.gov/cdo-web/datatools/normals"
"winter_TMIN","_weather_winter_tmin","","weather","F","winter minimum temperature","",-2000,2000,"","divide by 10 to get true value","1981-2010","https://www.ncdc.noaa.gov/cdo-web/datatools/normals"
"summer_TAVG","_weather_summer_tavg","","weather","F","summer average temperature","",-2000,2000,"","divide by 10 to get true value","1981-2010","https://www.ncdc.noaa.gov/cdo-web/datatools/normals"
"summer_TMAX","_weather_summer_tmax","","weather","F","summer maximum temperature","",-2000,2000,"","divide by 10 to get true value","1981-2010","https://www.ncdc.noaa.gov/cdo-web/datatools/normals"
"summer_TMIN","_weather_summer_tmin","","weather","F","summer minimum temperature","",-2000,2000,"","divide by 10 to get true value","1981-2010","https://www.ncdc.noaa.gov/cdo-web/datatools/normals"
"spring_TAVG","_weather_spring_tavg","","weather","F","spring average temperature","",-2000,2000,"","divide by 10 to get true value","1981-2010","https://www.ncdc.noaa.gov/cdo-web/datatools/normals"
"spring_TMAX","_weather_spring_tmax","","weather","F","spring maximum temperature","",-2000,2000,"","divide by 10 to get true value","1981-2010","https://www.ncdc.noaa.gov/cdo-web/datatools/normals"
"spring_TMIN","_weather_spring_tmin","","weather","F","spring minimum temperature","",-2000,2000,"","divide by 10 to get true value","1981-2010","https://www.ncdc.noaa.gov/cdo-web/datatools/normals"
"autumn_TAVG","_weather_autumn_tavg","","weather","F","autumn average temperature","",-2000,2000,"","divide by 10 to get true value","1981-2010","https://www.ncdc.noaa.gov/cdo-web/datatools/normals"
"autumn_TMAX","_weather_autumn_tmax","","weather","F","autumn maximum temperature","",-2000,2000,"","divide by 10 to get true value","1981-2010","https://www.ncdc.noaa.gov/cdo-web/datatools/normals"
"autumn_TMIN","_weather_autumn_tmin","","weather","F","autumn minimum temperature","",-2000,2000,"","divide by 10 to get true value","1981-2010","https://www.ncdc.noaa.gov/cdo-web/datatools/normals"
"temp","_weather_temperature","","weather","F","unknown meaning and method of calculation","",-2000,2000,"","","2010","Kirkegaard"
"precip","_weather_precipitate","","weather","inch","unknown meaning and method of calculation","",0,NA,"","","2010","Kirkegaard"
